player,recent_form,role,predicted_points,credits
SM Harwood,41.5,allrounder,48.40044444444444,8
Shubman Gill,58.8,batsman,46.142664502164486,8
JE Taylor,28.0,allrounder,45.93044704438184,8
KMDN Kulasekara,28.0,allrounder,45.93044704438184,8
A Flintoff,28.0,allrounder,45.93044704438184,8
JR Hazlewood,65.6,allrounder,44.95110784640197,8
SA Yadav,56.0,allrounder,42.94860558885558,8
HM Amla,45.6,batsman,41.4549413647498,8
AP Majumdar,24.666666666666668,batsman,39.57379778804962,8
PP Shaw,29.2,batsman,38.97341101957609,8
Sikandar Raza,29.2,allrounder,38.97341101957609,8
MA Wood,61.75,allrounder,38.8203494005994,8
RR Rossouw,36.0,batsman,38.683418206048984,8
J Yadav,9.666666666666666,allrounder,38.45200510600509,8
KL Rahul,42.2,batsman,38.2785126749444,8
S Lamichhane,41.2,allrounder,37.88227259031278,8
TS Mills,41.2,allrounder,37.88227259031278,8
A Nehra,41.2,allrounder,37.88227259031278,8
B Laughlin,35.0,allrounder,37.784249597817016,8
V Pratap Singh,35.0,allrounder,37.784249597817016,8
Azmatullah Omarzai,35.0,allrounder,37.784249597817016,8
A Mhatre,39.6,batsman,37.69754981147068,8
SM Curran,39.6,allrounder,37.69754981147068,8
B Sai Sudharsan,52.6,batsman,37.07206054407783,8
H Klaasen,38.8,batsman,37.05102133227055,8
MP Yadav,48.2,bowler,36.48814221671348,8
PD Salt,41.4,batsman,36.361835168756365,8
JJ Bumrah,50.6,allrounder,36.06303672976868,8
R Parag,40.8,allrounder,35.97771947769688,8
Azhar Mahmood,37.0,allrounder,35.8142027334945,8
KS Bharat,37.0,batsman,35.8142027334945,8
RD Rickelton,37.0,batsman,35.8142027334945,8
Noor Ahmad,47.8,allrounder,35.60542463504875,8
SM Pollock,30.2,allrounder,35.45711000600707,8
D Brevis,38.0,allrounder,35.020077035872426,8
K Santokie,50.0,bowler,34.95968019392913,8
AP Dole,50.0,allrounder,34.95968019392913,8
MA Khote,50.0,allrounder,34.95968019392913,8
SC Kuggeleijn,50.0,bowler,34.95968019392913,8
Sachin Baby,50.0,allrounder,34.95968019392913,8
A Uniyal,50.0,allrounder,34.95968019392913,8
GJ Bailey,17.4,batsman,34.62501079875031,8
RS Bopara,17.4,allrounder,34.62501079875031,8
SR Tendulkar,21.4,allrounder,34.20026258338278,8
M Shahrukh Khan,21.4,allrounder,34.20026258338278,8
S Dhawan,33.8,allrounder,34.07304127505028,8
N Pooran,33.8,batsman,34.07304127505028,8
SS Tiwary,33.8,batsman,34.07304127505028,8
Umar Gul,41.6,allrounder,33.67625792415483,8
TA Boult,41.6,allrounder,33.67625792415483,8
RA Jadeja,31.4,allrounder,32.57015481921143,8
MR Marsh,61.0,allrounder,32.514949855699854,8
D Pretorius,8.75,allrounder,32.24060449735448,8
C Green,34.8,allrounder,32.00141061813444,8
CH Morris,32.0,allrounder,31.78483754057236,8
C Sakariya,32.0,allrounder,31.78483754057236,8
Harpreet Brar,32.0,allrounder,31.78483754057236,8
J Suchith,32.0,allrounder,31.78483754057236,8
AB McDonald,32.0,allrounder,31.78483754057236,8
MEK Hussey,30.0,batsman,31.639990026661657,8
Atharva Taide,33.6,allrounder,31.437349527943173,8
SS Iyer,32.8,allrounder,31.303704375583397,8
DE Bollinger,35.8,allrounder,31.149192294308165,8
A Nortje,35.8,allrounder,31.149192294308165,8
AD Hales,23.0,batsman,31.080058210259445,8
SP Fleming,23.0,batsman,31.080058210259445,8
MM Ali,23.0,allrounder,31.080058210259445,8
KP Pietersen,38.2,allrounder,31.068785680310985,8
YBK Jaiswal,50.8,allrounder,31.027165436743054,8
AD Russell,35.2,allrounder,30.97119617810629,8
PA Patel,35.2,batsman,30.97119617810629,8
OC McCoy,42.8,allrounder,30.911546909110413,8
WPUJC Vaas,42.8,allrounder,30.911546909110413,8
TH David,31.0,batsman,30.900294382583628,8
JM Bairstow,31.0,batsman,30.900294382583628,8
V Shankar,25.8,allrounder,30.712466740863018,8
BA Stokes,49.8,allrounder,30.701721873514668,8
E Malinga,40.8,bowler,30.6878312620774,8
LH Ferguson,40.8,allrounder,30.6878312620774,8
VG Arora,40.8,allrounder,30.6878312620774,8
DJ Harris,27.0,allrounder,30.492904928597163,8
